Date,Close
11/11/2012,1730.3
11/12/2012,1724.2
11/13/2012,1729.5
11/14/2012,1713.3
11/15/2012,1714.3
11/18/2012,1734
11/19/2012,1723.2
11/20/2012,1727.9
11/23/2012,1751.3
11/25/2012,1749.5
11/26/2012,1742.2
11/27/2012,1716.5
11/28/2012,1727.2
11/29/2012,1710.9
12/2/2012,1719.6
12/3/2012,1694.4
12/4/2012,1692.4
12/5/2012,1700.3
12/6/2012,1704
12/9/2012,1713
12/10/2012,1708.2
12/11/2012,1716.6
12/12/2012,1695.6
12/13/2012,1695.8
12/16/2012,1697
12/17/2012,1669.5
12/18/2012,1666.5
12/19/2012,1644.9
12/20/2012,1659.1
12/24/2012,1658.6
12/25/2012,1659.8
12/26/2012,1662.6
12/27/2012,1654.9
12/30/2012,1674.8
1/1/2013,1687.9
1/2/2013,1673.7
1/3/2013,1648.1
1/6/2013,1645.5
1/7/2013,1661.5
1/8/2013,1654.8
1/9/2013,1677.3
1/10/2013,1660
1/13/2013,1668.9
1/14/2013,1683.4
1/15/2013,1682.7
1/16/2013,1690.4
1/17/2013,1686.6
1/21/2013,1692.8
1/22/2013,1686.3
1/23/2013,1669.5
1/24/2013,1656.4
1/27/2013,1652.4
1/28/2013,1660.7
1/29/2013,1679.9
1/30/2013,1660.6
1/31/2013,1669.4
2/3/2013,1675.3
2/4/2013,1672.4
2/5/2013,1677.7
2/6/2013,1670.4
2/7/2013,1666
2/10/2013,1648.2
2/11/2013,1648.7
2/12/2013,1644.2
2/13/2013,1634.7
2/14/2013,1608.8
2/18/2013,1603.6
2/19/2013,1577.6
2/20/2013,1578.2
2/21/2013,1572.4
2/24/2013,1586.2
2/25/2013,1615.2
2/26/2013,1595.2
2/27/2013,1577.7
2/28/2013,1571.9
3/3/2013,1572.1
3/4/2013,1574.6
3/5/2013,1574.6
3/6/2013,1574.8
3/7/2013,1576.6
3/10/2013,1577.8
3/11/2013,1591.5
3/12/2013,1588.3
3/13/2013,1590.6
3/14/2013,1592.5
3/17/2013,1604.6
3/18/2013,1611.3
3/19/2013,1607.5
3/20/2013,1613.8
3/21/2013,1606.2
3/24/2013,1604.6
3/25/2013,1595.8
3/26/2013,1606.2
3/27/2013,1594.8
3/31/2013,1600
4/1/2013,1575.1
